6f8d66d1,4231b02e,a8e8d373
9d12e228,26708969,fa72340a
a5cc9f52,6b5f4fe0,88e2b3c1
18815b1e,7ab67e0f,2208090e
69c0fd60,dd076b56,f40948f2
4c41e64b,f8f7e07d,fab346ad
96b2ebcb,f59d10f0,17c147a8
72e105ee,17b14c60,a08a5e21
e1bf9679,4475bf4,7e76da45
2a021f16,9b8b773d,7c10819
804e1989,128ae599,a8df94a1
e9b537b,e5d54fe5,6f4fd329
c22cb59c,1ca26724,bee7603a
87f0a056,427663fa,2b36dc6a
cfa9842c,db6a205d,14bab116
59fab7b9,d9e6bf27,401357b0
8317c233,9f64c3fc,897a393f
caadcce1,ea4f322a,37216162
349a8d6,f6fcc3b6,4b0ea9bf
7b881ed4,524c8e7f,bacbcfdf
c4217e04,b40211cf,ea26054b
1878035d,e75f735a,676320ea
fa0cfde0,3ded014c,f332a1f6
6508fe18,ecc1b7e8,92218c93
b99730c9,d93e235a,62e67621
a0542157,3dd2fb6b,a2326e6e
f227bd68,ef8c7dac,6b629e27
d1c0784a,605bc8b7,a5fd8202
f63f816e,95bd18,b910b0e1
eb80b909,cfc46616,f2ee9f08
fad177ee,300f647e,d7d425c3
1e1befe2,9ac78272,4322058b
af4857aa,72c82ba8,2b0a9d39
916c3c62,1fa485e0,dd0eec0a
d5952397,41fdf47b,82b694a2
efe3e88b,cce044bb,52d32d51
951c8b8a,aaf9cc34,1a5ba569
80b451fc,ee9f4ca2,3d4f1194
f7b19e25,f27bc01c,22893e6e
f4d888b1,c167e742,7d1e0b97
99aa6aea,52317df6,e12f405
65a56977,a5fcd649,924424eb
1d0605aa,7b0d57c3,f358524c
703088de,f13ff129,e03caed8
3f921842,ab67639d,19f09d5
39008cc4,5cca90ca,97b094a1
a47e7569,5dd13016,14ca9bff
b7c63243,6090e8c7,85180afb
127a88b7,d1c95ec6,5ec38c7e
dd4ec833,428036ac,db3f0584
4bc1e863,aa1376a8,e9a52145
5806bb5f,2284c9e9,e9ddfccb
b39663b7,5b943a07,65ee73f0
f2c9b317,97b2f737,504545f1
713c70de,60514be,b260ca1c
1e816716,66e61f66,d26ce828
f04b474a,a8e77b1f,bbcdbaed
f9e031dd,4e6ec17d,34b88a4b
30431dab,5f0d6ceb,85dc3454
c8562da9,65e9ab1c,30d76c6
3d487a92,40e7828,d066dc98
6c85b4c1,2016d58b,69061d2b
d9da0575,6a9ce94c,17102faf
b7b99fa9,25642cc2,af74c9af
fc6552cc,12882917,ef747019
70915156,201534f5,22beec52
8866f86e,b9121798,d8b83fc3
d78d2d2a,ce58af13,38f93852
a4994229,82ddaee,fb751220
cef7ccc6,dd7033ef,cc5a67f2
e88f9161,9fcdbf4e,feb89088
9cddddd4,46fb2e44,1281d05
35103428,9d502fb7,62ec08be
c463e3a2,4179510,c235b915
be7aedb1,ac6412a3,992a9391
854c3fa7,8ec3f370,ecb69b5d
98d366d3,2921baf3,23a89f9d
24b0e660,c5151d9e,bddb6683
612f0888,ddb639d2,647b8e27
3a2f00a7,ba9301f,7ee54e73
9ab783fc,f408265c,9e849ea4
f207e535,e8c46439,1f7bc992
90f85a9e,5e97270a,237b0fbc
4d051519,c595a00f,f4d3d90d
8862d1e7,948fe7c3,d806c10b
2ef55c66,ff71bddd,8233b79a
9fae2385,9cd69f47,167c5e9c
63b7841a,52a8e524,a4396bf7
560f4fc5,9361dec8,ddaf98e8
c0188dd8,12935b22,b4306daf
ceea3835,cf840648,cc4b1c5a
5108d4bf,7b651ded,c46590a7
f4cee7e,5c8cede2,e4b1ae93
7d044a99,b4f702e0,dab280a4
1281700f,8655cfab,540b27e9
3cfcbfc6,1d4717f5,d81e41a2
6e14c6fe,874fba38,346869fa
8b9724de,71fdfeed,75eedf49
3e655d4e,e9fe284,d61f01e
b636e7a,1849a367,a3bdbd00
1fc39773,10df205f,14af9bc5
3bcfd3d7,da5751a8,e6128be0
59f85ff5,c6c281c3,18a99e27
d55f2ae8,2d0c6e6b,cb8f8e6d
a2a2dc78,58d2bc0b,244319a4
ed3fd7b9,e708773e,ff99fde8
d1d20a1d,e4f06f85,6bb07e45
e8d84da9,5d403606,73fe84f3
534f7963,1bb106d3,c8e5572
76f8ab03,513268f7,e3daaae3
59ae5af3,d13ea263,f3e14f52
97dcfe8,c382207b,e7bc55ea
8b6e2ffc,3dcd72c6,c1d985a0
3519771e,c940d009,998b5356
eb709e6d,70d82816,249b6ef8
d1b0489a,d907d1f9,b49b9101
c55979b7,b36bf30d,1d770257
9cb12a5e,cbd7a244,c1782620
4af210c2,baa4dc4f,1bc12370
ce11ebdb,ec5ea20f,49e4eb0d
e3bc1a04,b9eab59b,4078ec0d
dda1f3f3,496ae2d2,53d8236f
bec8f7dd,58083dcb,1a055a1
989482f0,730722b6,5849bbf1
4bd6fd24,fa335c26,a39fc663
1b83a664,d0995422,27bccbcc
df2845f6,9e7fd5e0,c54e2be0
e61d58ec,3cbcb5c7,10cbe8bf
b09d35f1,ed715367,58bae085
976555b1,33084b64,b0e6de28
e81bea61,29482c31,13722974
3498399,c3e9260f,488f997c
fae00837,4b468a7a,ec64e17a
18b107c3,91b5897f,3f23bcf5
13bb6f19,6ffcf5a,55e6a549
abb2320c,21dc6b79,786d0a2
c38f4b6c,bd8c6511,cda365ba
dde55bb6,a9367a89,1bfce9df
29c71ad6,d88fd16,e9fbaf4c
5ba069e,12768682,d052c4f9
323b85d1,c5ba485c,6107e45c
6c2cd772,773d15df,b605e50a
f78b7d60,26b7d1a5,2f703f5e
a4fef584,1d649691,4c9216d9
37330dc7,a8389485,184fbb24
ea6ae197,e3b9ae3f,3720a791
656d8c5c,c929a7cf,98977ff6
38f9ac06,60db9f75,39c2ba8
6723a6bc,6c0a9a91,fbf7c02d
